tokenId,address,name,Item 1,Item 2,Item 3,Item 4,Item 5,Skin,Chain,Neck Tat,Special Arm Tat,One of One Item,Extra Item,Special Combo,Number of Items,share
81,7hvK2SXXxVzFBNNNtQgTyiFej2LrGNfCjzKXMyPapebq,Combo #81,Burger,Nuggets,Burger,None,None,Royal Galaxy,None,None,None,None,None,None,3,1
82,GPMPASyQNUd2PVJ67rmk637z3sGUPPRqXvJeFAPnGnPg,DE STREP THROAT NUGGET MCFUCKN LOVER DEADLUX,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Jade Galaxy,None,33 Piece,None,None,3.3 Nugs,5 Nuggets,5,3
83,29QBLjE3JMzSru2wRYkWoKXRaTzHY7wK3T7tooNpNmoC,Combo #83,Burger,Drink,Burger,None,None,Blue,None,None,None,None,None,None,3,1
84,7er48rjsvJr617Wv1z1kRhPSZf3VQnbF9RcWsSg4daKh,Grateful DeadGods,Nuggets,Ice Cream,Drink,Ice Cream,Burger,Green,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
85,53P92CMYRpwdj7TY5DbS95Uab1CzGDnAXgcUTvBhBcpQ,Combo #85,Burger,Burger,Burger,None,None,Magenta,None,None,None,None,None,None,3,1
86,FPxUNZNKSy7KTsYdgQV2sCfC3ehU9FcatwvunNUSQQTm,DeadGary's Munchie Meal,Burger,Drink,Nuggets,Burger,None,Pearl,None,None,None,None,None,None,4,2
87,BumB3NaNkK9E6FLsCALqP71HgMZDF1EBigmt9p7Dckw9,Combo #87,Burger,Drink,Burger,None,None,Purple,None,None,None,None,None,None,3,1
88,GeL8XjuufKLVSr7ZHWAri4MSHMyngcWAYAV6Nzs2xZia,Combo #88,Burger,Burger,Burger,None,None,Yellow,None,None,None,None,None,None,3,1
89,GeL8XjuufKLVSr7ZHWAri4MSHMyngcWAYAV6Nzs2xZia,Combo #89,Burger,Nuggets,Burger,None,None,Gold,None,None,None,None,None,None,3,1
90,GeL8XjuufKLVSr7ZHWAri4MSHMyngcWAYAV6Nzs2xZia,Combo #90,Nuggets,Nuggets,Nuggets,None,None,Deep Space,None,None,None,None,None,None,3,1
91,GeL8XjuufKLVSr7ZHWAri4MSHMyngcWAYAV6Nzs2xZia,Combo #91,Drink,Drink,Drink,None,None,Royal Galaxy,None,None,None,None,None,None,3,1
92,2P9wBqQdfZbkr14vHSLo4SP5KqEdcCkrjpQDCbpGXgHh,VBelle Special,Nuggets,Burger,Drink,Drink,None,Blue,None,None,None,None,None,None,4,2
93,2P9wBqQdfZbkr14vHSLo4SP5KqEdcCkrjpQDCbpGXgHh,Combo #93,Nuggets,Drink,Burger,None,None,Jade Galaxy,None,None,None,None,None,None,3,1
94,Es3zKL28bHujCog46MHrFJw57uSJa2xZNPubfwDCTVJz,Combo #94,Nuggets,Burger,Nuggets,None,None,Green,None,None,None,None,None,None,3,1
95,BvK2yjqxL8QJjjM2xsW27CH9EiXpwr8noUXiN5GJmu6L,Combo #95,Burger,Burger,Nuggets,None,None,Magenta,None,None,None,None,None,None,3,1
96,BvK2yjqxL8QJjjM2xsW27CH9EiXpwr8noUXiN5GJmu6L,Combo #96,Drink,Nuggets,Drink,None,None,Pearl,None,None,None,None,None,None,3,1
97,3sWjnhSyp2keipneGjDwYhWQLeouCt9jGJJHb9S2pV2N,McDust 3XL,Drink,Burger,Ice Cream,Burger,Nuggets,Marble,None,None,Ice Cream Tat,None,None,None,5,3
98,GTG3dUXFDcgy27awmDrVZ5iwko2biR3xupwEXoM9dAd6,Shebang,Drink,Burger,Ice Cream,Nuggets,None,Purple,None,None,Ice Cream Tat,None,None,None,4,2
99,CXHJActGpsq4AWQRoijoUnorkWA7gwJmyQRbUf11EcDH,Combo #99,Drink,Burger,Nuggets,None,None,Deep Space,None,None,None,None,None,None,3,1
100,CXHJActGpsq4AWQRoijoUnorkWA7gwJmyQRbUf11EcDH,Combo #100,Drink,Burger,Nuggets,None,None,Yellow,None,None,None,None,None,None,3,1
101,EU1hrRg6YvANJgLfkMok7zUrWVqGp8uHw9kAj98V96dZ,Combo #101,Drink,Burger,Nuggets,None,None,Blue,None,None,None,None,None,None,3,1
102,EU1hrRg6YvANJgLfkMok7zUrWVqGp8uHw9kAj98V96dZ,Combo #102,Drink,Burger,Nuggets,None,None,Green,None,None,None,None,None,None,3,1
103,EU1hrRg6YvANJgLfkMok7zUrWVqGp8uHw9kAj98V96dZ,Combo #103,Drink,Burger,Nuggets,None,None,Magenta,None,None,None,None,None,None,3,1
104,EU1hrRg6YvANJgLfkMok7zUrWVqGp8uHw9kAj98V96dZ,Combo #104,Drink,Burger,Nuggets,None,None,Pearl,None,None,None,None,None,None,3,1
105,EU1hrRg6YvANJgLfkMok7zUrWVqGp8uHw9kAj98V96dZ,Combo #105,Drink,Burger,Nuggets,None,None,Royal Galaxy,None,None,None,None,None,None,3,1
106,BPLjqY6WNvC5jayx4Bad1Su2jEmFZih835GC3EBAzr8A,33.3% Fox,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Gold,None,33 Piece,None,All Gold Erythang,3.3 Nugs,5 Nuggets,5,3
107,BPLjqY6WNvC5jayx4Bad1Su2jEmFZih835GC3EBAzr8A,Combo #107,Drink,Burger,Drink,None,None,Jade Galaxy,None,None,None,None,None,None,3,1
108,8XendZxPEt1JCKmKKePT1R3YBfN97nzAiZC1D7M7PCtx,Big Peen,Nuggets,Drink,Ice Cream,Burger,Nuggets,Royal Galaxy,None,None,Ice Cream Tat,None,None,None,5,3
109,5Uk8sxZTfeYgFy76hy2qtY7FdvdDn1Uj3HQYA713WGJj,Combo #109,Burger,Nuggets,Burger,None,None,Gold,None,None,None,None,None,All Gold Erythang,3,1
